"CORRIENTES","7","180182601","MSV 800","8A9C2G01ACAAR024","INSTALACIONES DOMICILIARIAS "
"CORRIENTES","89","180182606","ORT 280","8CB2STZZZFB000069","TEXTIL E INDUMENTARIA - GENÉRICA,"
"CORRIENTES","90","180182607","ORT 279","8CB2STZZZFB000072","SOLDADURA - GENÉRICA, METALMECÁNICA, "
"CORRIENTES","116","180182608","AB 005 EY","8CB2STZZZHB000021","SOLDADURA"
"CORRIENTES","149","180182609","AD 968 ZE","8CB2STZZZKB000241","GASTRONOMÍA"
"CORRIENTES","157","180182610","AE 069 UB","8CB2STZZZKB000287","SABERES DIGITALES"
"ENTRE RÍOS","16","300336006","AB 831  XB","8CB2STZZZHB000354","TEXTIL E INDUMENTARIA"
"ENTRE RÍOS","67","300336005","AA 495 EE","8CB2STZZZGB000286","AUTOMATIZACIÓN INDUSTRIAL"
"ENTRE RÍOS","91","300336001","OSS 297","8CB2STZZZFB000102","INSTALACIONES DOMICILIARIAS"
"ENTRE RÍOS","92","300336002","OSS 295","8CB2STZZZFB000103","INSTALACIONES DOMICILIARIAS"
"ENTRE RÍOS","93","300336003","OWK 714","8CB2STZZZFB000144","REPARACIÓN DE AUTOS Y MOTOS"
"ENTRE RÍOS","147","300336007","AD 968 ZC","8CB2STZZZKB000240","GASTRONOMÍA"
"ENTRE RÍOS","158","A SOLICICTAR ","AE 069 UJ","8CB2STZZZKB000283","SISTEMAS TECNOLOGICOS"
"ENTRE RÍOS","10 FLUVIAL","300336004","FLUVIAL S/D","","ENERGÍAS RENOVABLES Y ALTERNATIVAS  ( MECÁNICO DE MOTORES NÁUTICOS )"
"FORMOSA","35","340115101","OEA 949","8CB2STZZZEB0000220","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"FORMOSA","37","340115103","ODN 385","8CB2SUZZZEB000017","TEXTIL E INDUMENTARIA"
"FORMOSA","62","340115102","OIC 412","8CB2STZZZEB000286","INSTALACIONES DOMICILIARIAS"
"FORMOSA","94","340115104","OSS 296","8CB2STZZZFB000104","INSTALACIONES DOMICILIARIAS"
"FORMOSA","100","340115105","AA 665 UR","8CB2STZZZGB000355","REPARACIÓN DE AUTOS Y MOTOS"
"FORMOSA","129","340115106","AB 831 XG","8CB2STZZZHB000346","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
"FORMOSA","152","A SOLICICTAR ","AD 968 ZH","8CB2STZZZKB000244","GASTRONOMIA"
"JUJUY","15","3800945-05","AA 841  ZS","8CB2STZZZGB000388","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
"JUJUY","32","3800945-01","OJL 622","8CB2STZZZEB000291","INSTALACIONES DOMICILIARIAS"
"JUJUY","38","3800945-02","OEA 948","8CB2STZZZEB000221","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"JUJUY","96","3800945-04","OWK 717","8CB2STZZZFB000140","REPARACIÓN DE AUTOS Y MOTOS"
"JUJUY","148","","AD 968 ZD","8CB2STZZZKB000229","GASTRONOMIA"
"JUJUY","159","A SOLICICTAR ","AE 069 UK","8CB2STZZZKB000280","SISTEMAS TECNOLOGICOS"
"LA PAMPA","11","420097200","NIY 631","8A931420LDARTC014","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"LA PAMPA","12","420097300","NIY 630","8A931420LDARTC017","INSTALACIONES DOMICILIARIAS (MANTENIMIENTO )"
"LA PAMPA","22","420099800","AA 495 EI","8CB2STZZZGB000289","REFRIGERACIÓN Y CLIMATIZACIÓN"
"LA PAMPA","56","420097700","OEN 881","8CB2STZZZEB000014","GASTRONOMÍA"
"LA PAMPA","84","420099900","AA 665 UX","8CB2STZZZGB000352","REPARACIÓN DE AUTOS Y MOTOS"
"LA PAMPA ","139","A SOLICICTAR ","AD 892 NS","8CB2STZZZKB000215","SOLDADURA"
"LA RIOJA","61","460086901","OFZ 626","8CB2STZZZEB000231","INSTALACIONES DOMICILIARIAS"
"LA RIOJA","78","460086903","AA 495 EG","8CB2STZZZGB000284","TEXTIL E INDUMENTARIA"
"LA RIOJA","101","460086902","OWK 718","8CB2STZZZFB000141","REPARACIÓN DE AUTOS Y MOTOS"
"LA RIOJA","109","460086904","AB 017 ZE","8CB2STZZZHB000022","SOLDADURA"
"LA RIOJA ","153","A SOLICICTAR ","AD 968 ZI ","8CB2STZZZKB000247","GASTRONOMIA"
"MENDOZA","39","500266802","OIC 410","8CB2STZZZEB000279","INSTALACIONES DOMICILIARIAS"
"MENDOZA","45","500266803","OSS 298","8CB2STZZZFB000099","TEXTIL E INDUMENTARIA"
"MENDOZA","53","500266801","OEA 947","8CB2STZZZEB000224","INFORMÁTICA, REDES Y REPARACIÓN DE PC"
"MENDOZA","60","500266807","AB 831 XJ","8CB2STZZZHB000350","REFRIGERACIÓN Y CLIMATIZACIÓN"
"MENDOZA","95","500266805","AA 665 UT","8CB2STZZZGB000349","GASTRONOMÍA"
"MENDOZA","104","500266804","OXY 794","8CB2STZZZFB000196","SOLDADURA"
"MENDOZA","114","500266806","AB 017 ZG","8CB2STZZZHB000016","REPARACIÓN DE AUTOS Y MOTOS"
"MENDOZA","161","A SOLICICTAR ","AE 069 UC ","8CB2STZZZKB000288","SABERES DIGITALES"
"MISIONES","41","540120201","OEN 880","8CB2SUZZZEB000011","BIOTECNOLOGIA VEGETAL (EX AGROPECUARIA ) "
"","","","","",""
"MISIONES","59","540120202","OIC 413","8CB2STZZZEB000280","INSTALACIONES DOMICILIARIAS"
"MISIONES","69","540120203","OWK 713","8CB2STZZZFB000142","REPARACIÓN DE AUTOS Y MOTOS"
"MISIONES","80","540120204","AA 495 ED","8CB2STZZZGB000290","REFRIGERACIÓN Y CLIMATIZACIÓN"
"MISIONES","107","540120205","AA 665 UV","8CB2STZZZGB000350","GASTRONOMÍA"
"MISIONES","122","540120206","AB 005 ET","8CB2STZZZHB000043","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
"MISIONES","146","540120207","AD 968 ZB","8CB2STZZZKB000248","GASTRONOMÍA"
"MISIONES","162","A SOLICICTAR ","AE 069 UI","8CB2STZZZKB000286","SABERES DIGITALES"
"NEUQUÉN","18","580124106","AB 831 XE","8CB2STZZZHB000353","TEXTIL E INDUMENTARIA"
"NEUQUÉN","49","5800124102","OXY 792","8CB2STZZZFB000195","SOLDADURA"
"NEUQUÉN","54","580124101","OFZ 627","8CB2STZZZEB000230","INSTALACIONES DOMICILIARIAS"
"NEUQUÉN","106","580124103","AA 841 ZR","8CB2STZZZGB000387","METALMECÁNICA"
"NEUQUÉN","118","580124104","AB 005 ES","8CB2STZZZHB000041","ENERGÍAS RENOVABLES Y ALTERNATIVAS"
